"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"01998","Alabama (Metropolitan Portion)","5","CA1","3","...","Per capita personal income (dollars) 2/",3032,3265,3557,3905,4320,4761,5228,5741,6256,6953,7646,8382,9228,9744,10389,11397,12235,12862,13548,14556,15800,16697,17371,18442,18962,19866,20859,21625,22598,23966,24760,26100,26918,27632,28585,30362,31808,33431,34584,35502,34528,35457,36753,37663,38053
"01999","Alabama (Nonmetropolitan Portion)","5","CA1","1","...","Personal income (thousands of dollars)",2401511,2600577,2829742,3126758,3561053,3872250,4345071,4918136,5358346,6107944,6777261,7392957,8299073,8712476,9380292,10206120,10855201,11448270,11988280,12759975,13845143,14609169,15474387,16627296,17462045,18432700,19343948,20030802,20953816,22254607,23105668,23779109,25086465,25317350,26424617,28285219,29396264,30395112,31844604,33113215,32964004,34033256,34535990,35517114,36519138
"01999","Alabama (Nonmetropolitan Portion)","5","CA1","2","...","Population (persons) 1/",1024192,998556,1011549,1020753,1029205,1043472,1061498,1072205,1079079,1089523,1095801,1102147,1106721,1106271,1106377,1106422,1105810,1102204,1100771,1097050,1091333,1090116,1097841,1108292,1119076,1129591,1136727,1144156,1149525,1155380,1160008,1162154,1159446,1156064,1155095,1155131,1156107,1160460,1164844,1170207,1170647,1170839,1167378,1163251,1159361
"01999","Alabama (Nonmetropolitan Portion)","5","CA1","3","...","Per capita personal income (dollars) 2/",2345,2604,2797,3063,3460,3711,4093,4587,4966,5606,6185,6708,7499,7876,8478,9224,9817,10387,10891,11631,12686,13401,14095,15003,15604,16318,17017,17507,18228,19262,19919,20461,21637,21900,22877,24487,25427,26192,27338,28297,28159,29067,29584,30533,31499
"02000","Alaska","8","CA1","1","...","Personal income (thousands of dollars)",1565315,1787169,1969284,2148358,2483103,3011981,4117266,4842927,5025856,5175395,5469700,6203974,7056257,8609360,9367743,9960981,10771669,10867834,10429668,10874986,11937660,12648823,13196056,14089186,14833815,15321548,15731807,16157384,17037751,17817135,18389936,19775308,20820629,21714527,22571397,23547495,24926477,26428073,28384257,30949590,30880137,32527749,34853282,36446848,36866615
"02000","Alaska","8","CA1","2","...","Population (persons) 1/",296000,304328,316494,326494,333232,344696,370973,393115,397363,402191,403544,405315,418493,449606,488418,513704,532496,544269,539310,541984,547160,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,627963,633714,642337,648414,659286,666946,675302,680300,687455,698895,713868,723375,730307,735132
"02000","Alaska","8","CA1","3","...","Per capita personal income (dollars) 2/",5288,5873,6222,6580,7452,8738,11099,12319,12648,12868,13554,15307,16861,19149,19180,19391,20229,19968,19339,20065,21817,22861,23143,23931,24746,25396,26028,26550,27795,28740,29434,31491,32855,33806,34810,35717,37374,39135,41723,45021,44184,45565,48181,49906,50150
"02998","Alaska (Metropolitan Portion)","8","CA1","1","...","Personal income (thousands of dollars)",1045905,1181554,1286656,1409877,1539378,1946046,2802024,3232477,3413611,3431487,3551244,3971230,4613926,5759394,6320514,6825165,7276461,7264763,6922129,7015958,7660555,8210372,8607573,9266474,9787117,10120085,10341227,10654021,11330332,11976967,12398405,13275090,14199824,14951901,15585296,16335928,17344912,18505297,19788589,21646391,21553915,22583697,24144749,25174764,25425948
"02998","Alaska (Metropolitan Portion)","8","CA1","2","...","Population (persons) 1/",174434,180170,189135,198700,203383,209835,227001,242110,245113,249399,249941,248359,256407,276766,303004,320565,335561,343594,338739,339009,341079,345829,357886,372813,379493,383700,383819,385486,388963,396194,400562,403623,410895,418677,424615,434288,441334,449263,453739,460185,469800,481334,487069,492280,496578
"02998","Alaska (Metropolitan Portion)","8","CA1","3","...","Per capita personal income (dollars) 2/",5996,6558,6803,7096,7569,9274,12344,13351,13927,13759,14208,15990,17995,20810,20860,21291,21684,21143,20435,20695,22460,23741,24051,24856,25790,26375,26943,27638,29130,30230,30953,32890,34558,35712,36705,37615,39301,41190,43612,47038,45879,46919,49572,51139,51202
"02999","Alaska (Nonmetropolitan Portion)","8","CA1","1","...","Personal income (thousands of dollars)",519410,605615,682628,738481,943725,1065935,1315242,1610450,1612245,1743908,1918456,2232744,2442331,2849966,3047229,3135816,3495208,3603071,3507539,3859028,4277105,4438451,4588483,4822712,5046698,5201463,5390580,5503363,5707419,5840168,5991531,6500218,6620805,6762626,6986101,7211567,7581565,7922776,8595668,9303199,9326222,9944052,10708533,11272084,11440667
"02999","Alaska (Nonmetropolitan Portion)","8","CA1","2","...","Population (persons) 1/",121566,124158,127359,127794,129849,134861,143972,151005,152250,152792,153603,156956,162086,172840,185414,193139,196935,200675,200571,202975,206081,207461,212307,215923,219939,219608,220593,223083,224005,223738,224217,224340,222819,223660,223799,224998,225612,226039,226561,227270,229095,232534,236306,238027,238554
"02999","Alaska (Nonmetropolitan Portion)","8","CA1","3","...","Per capita personal income (dollars) 2/",4273,4878,5360,5779,7268,7904,9135,10665,10589,11414,12490,14225,15068,16489,16435,16236,17748,17955,17488,19012,20754,21394,21612,22335,22946,23685,24437,24670,25479,26103,26722,28975,29714,30236,31216,32052,33604,35050,37940,40935,40709,42764,45316,47356,47958
"04000","Arizona","6","CA1","1","...","Personal income (thousands of dollars)",6309880,7180112,8206023,9404333,10860099,12242125,13161612,14657478,16475753,19435390,22882984,26355205,30111113,31876676,35022456,39692439,44047498,48287072,52219519,56251007,60461798,63347429,66542734,70956360,76399486,83823467,91210440,98865534,107334952,117882827,125458462,136949927,143499305,148853407,156784751,170838836,189280632,209900700,221175458,224661187,215635941,217855645,229719194,239929270,245070457
"04000","Arizona","6","CA1","2","...","Population (persons) 1/",1737000,1794912,1896108,2008847,2125281,2224342,2286348,2347976,2427310,2517852,2638582,2737774,2810108,2889860,2968924,3067134,3183539,3308261,3437103,3535183,3622184,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5160586,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6408790,6468796,6551149,6626624
"04000","Arizona","6","CA1","3","...","Per capita personal income (dollars) 2/",3633,4000,4328,4681,5110,5504,5757,6243,6788,7719,8672,9627,10715,11031,11796,12941,13836,14596,15193,15912,16692,17195,17564,18121,18792,19746,20578,21554,22659,24140,24973,26538,27212,27585,28453,30224,32416,34814,35860,35772,33995,33993,35512,36624,36983
"04998","Arizona (Metropolitan Portion)","6","CA1","1","...","Personal income (thousands of dollars)",5940983,6754078,7729460,8852725,10202089,11525778,12368169,13778987,15502854,18276160,21609658,24963751,28567432,30314038,33275786,37764112,42041316,46131451,49901998,53785139,57791201,60500351,63500047,67669899,72870516,80066352,87294403,94623071,102862585,113113086,120413176,131718262,137957105,143113668,150645767,164261974,182102762,202144102,212819269,215732192,206580671,208694889,220209289,230293790,235213670
"04998","Arizona (Metropolitan Portion)","6","CA1","2","...","Population (persons) 1/",1587300,1642915,1734945,1843724,1953104,2044895,2103181,2158048,2232550,2317221,2430451,2526234,2598769,2674608,2738782,2836491,2951231,3071470,3193869,3287983,3368546,3425356,3525073,3646533,3787151,3959484,4137643,4285060,4428328,4570789,4708050,4841800,4955918,5076807,5188527,5328192,5510818,5695176,5828535,5937517,5997329,6063030,6122351,6205029,6280692
"04998","Arizona (Metropolitan Portion)","6","CA1","3","...","Per capita personal income (dollars) 2/",3743,4111,4455,4802,5224,5636,5881,6385,6944,7887,8891,9882,10993,11334,12150,13314,14245,15019,15624,16358,17156,17663,18014,18557,19242,20221,21098,22082,23228,24747,25576,27204,27837,28190,29034,30829,33045,35494,36513,36334,34445,34421,35968,37114,37450
"04999","Arizona (Nonmetropolitan Portion)","6","CA1","1","...","Personal income (thousands of dollars)",368897,426034,476563,551608,658010,716347,793443,878491,972899,1159230,1273326,1391454,1543681,1562638,1746670,1928327,2006182,2155621,2317521,2465868,2670597,2847078,3042687,3286461,3528970,3757115,3916037,4242463,4472367,4769741,5045286,5231665,5542200,5739739,6138984,6576862,7177870,7756598,8356189,8928995,9055270,9160756,9509905,9635480,9856787
"04999","Arizona (Nonmetropolitan Portion)","6","CA1","2","...","Population (persons) 1/",149700,151997,161163,165123,172177,179447,183167,189928,194760,200631,208131,211540,211339,215252,230142,230643,232308,236791,243234,247200,253638,258741,263503,269207,278289,285605,294856,301880,308662,312553,315773,318786,317559,319448,321837,324212,328259,333965,339146,342845,345825,345760,346445,346120,345932
"04999","Arizona (Nonmetropolitan Portion)","6","CA1","3","...","Per capita personal income (dollars) 2/",2464,2803,2957,3341,3822,3992,4332,4625,4995,5778,6118,6578,7304,7260,7590,8361,8636,9103,9528,9975,10529,11004,11547,12208,12681,13155,13281,14053,14490,15261,15978,16411,17453,17968,19075,20286,21866,23226,24639,26044,26185,26495,27450,27839,28493
"05000","Arkansas","5","CA1","1","...","Personal income (thousands of dollars)",5129597,5635770,6273038,7082421,8381299,9361505,10317199,11382348,12660634,14678754,16085794,17360546,19647661,20666289,21979252,24467205,26075227,27390577,28467554,30524089,32748282,34454491,36402860,39713570,41691458,44262434,47045204,49936446,52327705,55571019,57900855,61024355,64205161,65648968,69484022,74000021,77842228,83224052,88847496,93070119,91672159,93561655,100171552,107443010,108603298
"05000","Arkansas","5","CA1","2","...","Population (persons) 1/",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2922280,2938506,2949828,2959373
